Date,TimeStamp,Campaign_ads_name,Project,Campaign_ads_ID,Ad_group_name,Placement_URL,Ad_type,Keywords,Currency_code,Cost,impressions,Clicks,Video_views,Conversions,Advertising_position,CR,TRUE_FALSE
5/22/2019,2019-05-23 03:01:00.999999 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-1,Galinburg,1917120641,Ad group 1_ Brand KW_P1_May 17,https://www.nytimes.com/,Responsive search ad,Innovation,USD,2,80930,323,0,2,2.7,0.2,TRUE
5/22/2019,2019-05-23 04:01:01 UTC,GDN_Fox_Display_Display-BK1,Fox,1917129835,Ad group 1_ Brand KW_P1_May 17,https://www.nationalgeographic.com/,Expanded text ad,Financial Industry,USD,82,119028,220,0,2,2.7,0.2,TRUE
5/22/2019,2019-05-23 05:01:01 UTC,SEM_Cassandra-Brand #2,Cassandra,1917978903,Ad group 1_BK Pro KW_P1_Jobs_17/5,https://www.howstuffworks.com/,Image ad,Olympic Tokyo 2022,USD,18,74,7,0,2,2.7,0.2,TRUE
5/22/2019,2019-05-23 06:01:00.999999 UTC,SEM_Cassandra-Search-World-Jobs,Cassandra,1917939744,Ad group 1_BK Pro KW_P1_Jobs_17/5,Mobile App,Responsive search ad,Republic Holiday,USD,48,1586,20,0,1,3.6,0.2,TRUE
5/23/2019,2019-05-24 07:01:01 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-1,Galinburg,1917120641,Ad group 1_BK Pro KW_P1_Jobs_17/5,Wikidich.com,Expanded text ad,API Bok,USD,81,37708,151,0,3,2.7,0.2,TRUE
5/23/2019,2019-05-24 08:01:01 UTC,GDN_Fox_Display_Display-BK1,Fox,1917129835,Ad group 1 - BK1 - All,https://www.worldbank.org/,Image ad,Thinking about China,USD,51,43482,121,0,1,3.6,0.2,TRUE
5/23/2019,2019-05-24 09:01:00.999999 UTC,SEM_Cassandra-Brand #2,Cassandra,1917978903,Ad group 1 - BK1 - All,https://www.nytimes.com/,Responsive search ad,Energy,USD,68,165,33,0,3,2.7,0.2,TRUE
5/23/2019,2019-05-24 10:01:01 UTC,SEM_Cassandra-Search-World-Jobs,Cassandra,1917939744,Ad group 1 - BK1 - All,https://www.nationalgeographic.com/,Expanded text ad,National Security,USD,47,2788,30,0,2,2.7,0.2,TRUE
5/24/2019,2019-05-25 11:01:01 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-1,Galinburg,1917120641,Ad group 1 - BK1 - Placement,https://www.howstuffworks.com/,Image ad,Innovation,USD,12,15378,70,0,1,2.7,0.2,FALSE
5/24/2019,2019-05-25 12:01:00.999999 UTC,GDN_Fox_Display_Display-BK1,Fox,1917129835,Ad group 1 - BK1 - Placement,Mobile App,Responsive search ad,Financial Industry,USD,93,34079,66,0,2,2.7,0.2,FALSE
5/24/2019,2019-05-25 13:01:01 UTC,SEM_Cassandra-Brand #2,Cassandra,1917978903,Ad group 1 - BK1 - Placement,Wikidich.com,Expanded text ad,Olympic Tokyo 2023,USD,81,158,29,0,1,3.6,0.2,FALSE
5/24/2019,2019-05-25 14:01:01 UTC,SEM_Cassandra-Search-World-Jobs,Cassandra,1917939744,Ad group 1_Placement,https://www.worldbank.org/,Image ad,Republic Holiday,USD,14,2767,33,0,3,3.6,0.2,FALSE
5/25/2019,2019-05-26 15:01:00.999999 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-1,Galinburg,1917120641,Ad group 1_Placement,https://www.nytimes.com/,Responsive search ad,API Bok,USD,35,17342,74,0,2,3.6,0.2,FALSE
5/25/2019,2019-05-26 16:01:01 UTC,GDN_Fox_Display_Display-BK1,Fox,1917129835,Ad group 1_Placement,https://www.nationalgeographic.com/,Expanded text ad,Thinking about China,USD,25,37066,77,0,1,2.7,0.2,FALSE
5/25/2019,2019-05-26 17:01:01 UTC,SEM_Cassandra-Brand #2,Cassandra,1917978903,Ad group 1_Topic,https://www.howstuffworks.com/,Image ad,Energy,USD,55,105,7,0,1,3.6,0.2,FALSE
5/25/2019,2019-05-26 18:01:00.999999 UTC,SEM_Cassandra-Search-World-Jobs,Cassandra,1917939744,Ad group 1_Topic,Mobile App,Responsive search ad,National Security,USD,39,2319,31,0,3,2.7,0.1,FALSE
5/26/2019,2019-05-27 19:01:01 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-1,Galinburg,1917120641,Ad group 1_Topic,Wikidich.com,Expanded text ad,Innovation,USD,31,14695,77,0,2,2.7,0.1,FALSE
5/26/2019,2019-05-27 20:01:01 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-Nod 2,Galinburg,1961240827,Ad group 1_ Brand KW_P1_May 17,https://www.worldbank.org/,Image ad,Financial Industry,USD,7,18909,126,0,3,3.6,0.1,FALSE
5/26/2019,2019-05-27 21:01:00.999999 UTC,GDN_Fox_Display_Display-BK1,Fox,1917129835,Ad group 1_ Brand KW_P1_May 17,https://www.nytimes.com/,Responsive search ad,Olympic Tokyo 2024,USD,94,8224,24,0,1,3.6,0.1,FALSE
5/26/2019,2019-05-27 22:01:01 UTC,GDN_Cassandra-Display- KV3,Cassandra,1961254468,Ad group 1_BK Pro KW_P1_Jobs_17/5,https://www.nationalgeographic.com/,Expanded text ad,Republic Holiday,USD,89,399,0,0,2,3.6,0.1,FALSE
5/26/2019,2019-05-27 23:01:01 UTC,SEM_Cassandra-Brand #2,Cassandra,1917978903,Ad group 1_BK Pro KW_P1_Jobs_17/5,https://www.howstuffworks.com/,Image ad,API Bok,VND,19323,64,13,0,3,2.7,0.1,FALSE
5/26/2019,2019-05-28 00:01:00.999999 UTC,SEM_Cassandra-Search-World-Jobs,Cassandra,1917939744,Ad group 1_BK Pro KW_P1_Jobs_17/5,Mobile App,Responsive search ad,Thinking about China,VND,60004,2684,30,0,3,3.6,0.1,FALSE
5/27/2019,2019-05-29 01:01:01 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-1,Galinburg,1917120641,Ad group 1 - BK1 - All,Wikidich.com,Expanded text ad,Energy,VND,203881,33609,162,0,3,2.7,0.1,FALSE
5/27/2019,2019-05-29 02:01:01 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-Nod 2,Galinburg,1961240827,Ad group 1 - BK1 - All,https://www.worldbank.org/,Image ad,National Security,VND,318179,44723,348,0,2,2.7,0.1,FALSE
5/27/2019,2019-05-29 03:01:00.999999 UTC,GDN_Fox_Display_Display-BK1,Fox,1917129835,Ad group 1 - BK1 - Placement,https://www.nytimes.com/,Responsive search ad,Innovation,USD,3,49620,146,0,1,3.6,0.1,FALSE
5/27/2019,2019-05-29 04:01:01 UTC,GDN_Cassandra-Display- KV3,Cassandra,1961254468,Ad group 1 - BK1 - Placement,https://www.nationalgeographic.com/,Expanded text ad,Financial Industry,USD,96,3987,18,0,2,2.7,0.2,FALSE
5/27/2019,2019-05-29 05:01:01 UTC,SEM_Cassandra-Brand #2,Cassandra,1917978903,Ad group 1_Placement,https://www.howstuffworks.com/,Image ad,Olympic Tokyo 2025,USD,49,234,27,0,3,3.6,0.2,FALSE
5/27/2019,2019-05-29 06:01:00.999999 UTC,SEM_Cassandra-Search-World-Jobs,Cassandra,1917939744,Ad group 1_Placement,Mobile App,Responsive search ad,Republic Holiday,USD,66,3869,43,0,1,2.7,0.2,FALSE
5/28/2019,2019-05-30 07:01:01 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-1,Galinburg,1917120641,Ad group 1_Placement,Wikidich.com,Expanded text ad,API Bok,USD,43,25180,107,0,3,2.7,0.2,FALSE
5/28/2019,2019-05-30 08:01:01 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-Nod 2,Galinburg,1961240827,Ad group 1_Topic,https://www.worldbank.org/,Image ad,Thinking about China,USD,97,47363,306,0,2,3.6,0.2,FALSE
5/28/2019,2019-05-30 09:01:00.999999 UTC,GDN_Fox_Display_Display-BK1,Fox,1917129835,Ad group 1_Topic,https://www.nytimes.com/,Responsive search ad,Energy,USD,72,17724,71,0,2,2.7,0.2,FALSE
5/28/2019,2019-05-30 10:01:01 UTC,GDN_Cassandra-Display- KV3,Cassandra,1961254468,Ad group 1_Topic,https://www.nationalgeographic.com/,Expanded text ad,National Security,USD,91,30039,154,0,1,3.6,0.2,FALSE
5/28/2019,2019-05-30 11:01:01 UTC,SEM_Cassandra-Brand #2,Cassandra,1917978903,Ad group 1_ Brand KW_P1_May 17,https://www.howstuffworks.com/,Image ad,Innovation,USD,8,217,22,0,3,2.7,0.2,FALSE
5/28/2019,2019-05-30 12:01:00.999999 UTC,SEM_Cassandra-World-recruiment,Cassandra,1971158871,Ad group 1_ Brand KW_P1_May 17,Mobile App,Responsive search ad,Financial Industry,VND,2455,93,1,0,2,3.6,0.2,FALSE
5/28/2019,2019-05-30 13:01:01 UTC,SEM_Cassandra-Search-World-Jobs,Cassandra,1917939744,Ad group 1_BK Pro KW_P1_Jobs_17/5,Wikidich.com,Expanded text ad,Olympic Tokyo 2026,VND,58599,3111,29,0,3,2.7,0.2,FALSE
5/29/2019,2019-05-31 14:01:01 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-Nod 2,Galinburg,1961240827,Ad group 1_BK Pro KW_P1_Jobs_17/5,https://www.worldbank.org/,Image ad,Republic Holiday,VND,299543,35480,175,0,3,3.6,0.2,FALSE
5/29/2019,2019-05-31 15:01:00.999999 UTC,GDN_Cassandra-Display- KV3,Cassandra,1961254468,Ad group 1_BK Pro KW_P1_Jobs_17/5,https://www.nytimes.com/,Responsive search ad,API Bok,VND,299947,62291,166,0,2,3.6,0.2,FALSE
5/29/2019,2019-05-31 16:01:01 UTC,SEM_Cassandra-Brand #2,Cassandra,1917978903,Ad group 1 - BK1 - All,https://www.nationalgeographic.com/,Expanded text ad,Thinking about China,VND,61338,223,29,0,3,2.7,0.2,FALSE
5/29/2019,2019-05-31 17:01:01 UTC,SEM_Cassandra-World-headhunter,Cassandra,1970519510,Ad group 1 - BK1 - All,https://www.howstuffworks.com/,Image ad,Energy,VND,6248,28,4,0,2,2.7,0.2,FALSE
5/29/2019,2019-05-31 18:01:00.999999 UTC,SEM_Cassandra-World-recruiment,Cassandra,1971158871,Ad group 1 - BK1 - Placement,Mobile App,Responsive search ad,National Security,VND,3510,234,2,0,2,2.7,0.1,FALSE
5/29/2019,2019-05-31 19:01:01 UTC,SEM_Cassandra-Search-World-Jobs,Cassandra,1917939744,Ad group 1 - BK1 - Placement,Wikidich.com,Expanded text ad,Innovation,VND,40470,2407,19,0,2,2.7,0.1,FALSE
5/29/2019,2019-05-31 20:01:01 UTC,SEM_Cassandra_MKT1,Cassandra,1978660208,Ad group 1_Placement,https://www.worldbank.org/,Image ad,Financial Industry,VND,0,1,0,0,2,2.7,0.1,FALSE
5/30/2019,2019-06-01 21:01:00.999999 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-Nod 2,Galinburg,1961240827,Ad group 1_Placement,https://www.nytimes.com/,Responsive search ad,Olympic Tokyo 2027,VND,289814,34499,163,0,2,2.7,0.1,FALSE
5/30/2019,2019-06-01 22:01:01 UTC,GDN_Cassandra-Display- KV3,Cassandra,1961254468,Ad group 1_Placement,https://www.nationalgeographic.com/,Expanded text ad,Republic Holiday,VND,267929,42943,111,0,3,2.7,0.1,FALSE
5/30/2019,2019-06-01 23:01:01 UTC,SEM-Cassandra-HR1,Cassandra,1980306223,Ad group 1_Topic,https://www.howstuffworks.com/,Image ad,API Bok,VND,1780,121,1,0,2,3.6,0.1,FALSE
5/30/2019,2019-06-02 00:01:00.999999 UTC,SEM_Cassandra-Brand #2,Cassandra,1917978903,Ad group 1_Topic,Mobile App,Responsive search ad,Thinking about China,VND,31652,205,34,0,3,3.6,0.1,FALSE
5/30/2019,2019-06-02 01:01:01 UTC,SEM_Cassandra-World-headhunter,Cassandra,1970519510,Ad group 1_Topic,Wikidich.com,Expanded text ad,Energy,VND,9594,39,6,0,2,3.6,0.1,FALSE
5/30/2019,2019-06-02 02:01:01 UTC,SEM_Cassandra-World-recruiment,Cassandra,1971158871,Ad group 1_ Brand KW_P1_May 17,https://www.worldbank.org/,Image ad,National Security,USD,80,632,4,0,2,3.6,0.1,FALSE
5/30/2019,2019-06-02 03:01:00.999999 UTC,SEM_Cassandra-Search-Bank,Cassandra,1918272637,Ad group 1_ Brand KW_P1_May 17,https://www.nytimes.com/,Responsive search ad,Innovation,USD,85,20,0,0,1,2.7,0.1,FALSE
5/30/2019,2019-06-02 04:01:01 UTC,SEM_Cassandra-Search-World-Jobs,Cassandra,1917939744,Ad group 1_BK Pro KW_P1_Jobs_17/5,https://www.nationalgeographic.com/,Expanded text ad,Financial Industry,USD,90,2861,22,0,3,2.7,0.1,FALSE
5/30/2019,2019-06-02 05:01:01 UTC,SEM_Cassandra_FMCG,Cassandra,1980162614,Ad group 1_BK Pro KW_P1_Jobs_17/5,https://www.howstuffworks.com/,Image ad,Olympic Tokyo 2028,USD,6,4,0,0,2,3.6,0.1,FALSE
5/30/2019,2019-06-02 06:01:00.999999 UTC,SEM_Cassandra_Finance,Cassandra,1980857190,Ad group 1_BK Pro KW_P1_Jobs_17/5,Mobile App,Responsive search ad,Republic Holiday,USD,80,31,0,0,1,2.7,0.1,FALSE
5/30/2019,2019-06-02 07:01:01 UTC,SEM_Cassandra_MKT1,Cassandra,1978660208,Ad group 1 - BK1 - All,Wikidich.com,Expanded text ad,API Bok,USD,76,70,1,0,2,2.7,0.1,FALSE
5/30/2019,2019-06-02 08:01:01 UTC,SEM_Cassandra_Manufacture,Cassandra,1980780387,Ad group 1 - BK1 - All,https://www.worldbank.org/,Image ad,Thinking about China,USD,39,7,0,0,3,3.6,0.1,FALSE
5/30/2019,2019-06-02 09:01:00.999999 UTC,SEM_Cassandra_Retails,Cassandra,1980166496,Ad group 1 - BK1 - Placement,https://www.nytimes.com/,Responsive search ad,Energy,USD,67,1,0,0,1,2.7,0.3,FALSE
5/31/2019,2019-06-03 10:01:01 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-Nod 2,Galinburg,1961240827,Ad group 1 - BK1 - Placement,https://www.nationalgeographic.com/,Expanded text ad,National Security,USD,18,31909,188,0,2,2.7,0.1,FALSE
5/31/2019,2019-06-03 11:01:01 UTC,GDN_Cassandra-Display- KV3,Cassandra,1961254468,Ad group 1 - BK1 - Placement,https://www.howstuffworks.com/,Image ad,Innovation,USD,92,25064,78,0,3,2.7,0.1,FALSE
5/31/2019,2019-06-03 12:01:00.999999 UTC,SEM-Cassandra-HR1,Cassandra,1980306223,Ad group 1_Placement,Mobile App,Responsive search ad,Financial Industry,USD,78,236,3,0,1,3.6,0.1,FALSE
5/31/2019,2019-06-03 13:01:01 UTC,SEM_Cassandra-Brand #2,Cassandra,1917978903,Ad group 1_Placement,Wikidich.com,Expanded text ad,Olympic Tokyo 2029,USD,87,174,26,0,1,2.7,0.1,FALSE
5/31/2019,2019-06-03 14:01:01 UTC,SEM_Cassandra-World-headhunter,Cassandra,1970519510,Ad group 1_Topic,https://www.worldbank.org/,Image ad,Republic Holiday,USD,2,36,2,0,3,3.6,0.1,FALSE
5/31/2019,2019-06-03 15:01:00.999999 UTC,SEM_Cassandra-World-recruiment,Cassandra,1971158871,Ad group 1_ Brand KW_P1_May 17,https://www.nytimes.com/,Responsive search ad,API Bok,USD,65,218,2,0,1,2.7,0.1,FALSE
5/31/2019,2019-06-03 16:01:01 UTC,SEM_Cassandra-Search-Bank,Cassandra,1918272637,Ad group 1_ Brand KW_P1_May 17,https://www.nationalgeographic.com/,Expanded text ad,Thinking about China,USD,40,29,0,0,1,3.6,0.1,FALSE
5/31/2019,2019-06-03 17:01:01 UTC,SEM_Cassandra-Search-World-Jobs,Cassandra,1917939744,Ad group 1_BK Pro KW_P1_Jobs_17/5,https://www.howstuffworks.com/,Image ad,Energy,VND,65181,2526,32,0,1,3.6,0.1,FALSE
5/31/2019,2019-06-03 18:01:00.999999 UTC,SEM_Cassandra_FMCG,Cassandra,1980162614,Ad group 1_BK Pro KW_P1_Jobs_17/5,Mobile App,Responsive search ad,National Security,VND,0,7,0,0,3,3.6,0.3,FALSE
5/31/2019,2019-06-03 19:01:01 UTC,SEM_Cassandra_Finance,Cassandra,1980857190,Ad group 1_BK Pro KW_P1_Jobs_17/5,Wikidich.com,Expanded text ad,Innovation,VND,0,83,0,0,1,3.6,0.3,FALSE
5/31/2019,2019-06-03 20:01:01 UTC,SEM_Cassandra_MKT1,Cassandra,1978660208,Ad group 1 - BK1 - All,https://www.worldbank.org/,Image ad,Financial Industry,VND,1992,82,1,0,2,3.6,0.3,FALSE
5/31/2019,2019-06-03 21:01:00.999999 UTC,SEM_Cassandra_Manufacture,Cassandra,1980780387,Ad group 1 - BK1 - All,https://www.nytimes.com/,Responsive search ad,Olympic Tokyo 2030,VND,3236,48,2,0,3,2.7,0.3,FALSE
5/31/2019,2019-06-03 22:01:01 UTC,SEM_Cassandra_Retails,Cassandra,1980166496,Ad group 1 - BK1 - Placement,https://www.nationalgeographic.com/,Expanded text ad,Republic Holiday,VND,0,73,0,0,1,3.6,0.3,FALSE
6/1/2019,2019-06-04 23:01:01 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-1,Galinburg,1917120641,Ad group 1 - BK1 - Placement,https://www.howstuffworks.com/,Image ad,API Bok,VND,208300,37679,214,0,1,2.7,0.3,FALSE
6/1/2019,2019-06-05 00:01:00.999999 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-Nod 2,Galinburg,1961240827,Ad group 1 - BK1 - Placement,Mobile App,Responsive search ad,Thinking about China,VND,311469,37303,179,0,1,3.6,0.3,FALSE
6/1/2019,2019-06-05 01:01:01 UTC,GDN_Cassandra-Display- KV3,Cassandra,1961254468,Ad group 1_Placement,Wikidich.com,Expanded text ad,Energy,VND,153399,15939,97,0,1,2.7,0.3,FALSE
6/1/2019,2019-06-05 02:01:01 UTC,SEM-Cassandra-HR1,Cassandra,1980306223,Ad group 1_Placement,https://www.worldbank.org/,Image ad,National Security,VND,0,83,0,0,3,2.7,0.3,FALSE
6/1/2019,2019-06-05 03:01:00.999999 UTC,SEM_Cassandra-Brand #2,Cassandra,1917978903,Ad group 1_Topic,https://www.nytimes.com/,Responsive search ad,Innovation,VND,12453,99,20,0,3,2.7,0.1,FALSE
6/1/2019,2019-06-05 04:01:01 UTC,SEM_Cassandra-World-headhunter,Cassandra,1970519510,Ad group 1_ Brand KW_P1_May 17,https://www.nationalgeographic.com/,Expanded text ad,Financial Industry,VND,1758,12,1,0,2,2.7,0.1,FALSE
6/1/2019,2019-06-05 05:01:01 UTC,SEM_Cassandra-World-recruiment,Cassandra,1971158871,Ad group 1_ Brand KW_P1_May 17,https://www.howstuffworks.com/,Image ad,Olympic Tokyo 2031,VND,6735,130,3,0,1,2.7,0.1,FALSE
6/1/2019,2019-06-05 06:01:00.999999 UTC,SEM_Cassandra-Search-Bank,Cassandra,1918272637,Ad group 1_BK Pro KW_P1_Jobs_17/5,Mobile App,Responsive search ad,Republic Holiday,VND,0,16,0,0,1,2.7,0.1,FALSE
6/1/2019,2019-06-05 07:01:01 UTC,SEM_Cassandra-Search-World-Jobs,Cassandra,1917939744,Ad group 1_BK Pro KW_P1_Jobs_17/5,Wikidich.com,Expanded text ad,API Bok,VND,39985,1890,21,0,2,2.7,0.1,FALSE
6/1/2019,2019-06-05 08:01:01 UTC,SEM_Cassandra_FMCG,Cassandra,1980162614,Ad group 1_BK Pro KW_P1_Jobs_17/5,https://www.worldbank.org/,Image ad,Thinking about China,VND,0,4,0,0,1,2.7,0.1,FALSE
6/1/2019,2019-06-05 09:01:00.999999 UTC,SEM_Cassandra_Finance,Cassandra,1980857190,Ad group 1 - BK1 - All,https://www.nytimes.com/,Responsive search ad,Energy,VND,0,78,0,0,1,2.7,0.1,FALSE
6/1/2019,2019-06-05 10:01:01 UTC,SEM_Cassandra_MKT1,Cassandra,1978660208,Ad group 1 - BK1 - All,https://www.nationalgeographic.com/,Expanded text ad,National Security,VND,0,73,0,0,1,2.7,0.1,FALSE
6/1/2019,2019-06-05 11:01:01 UTC,SEM_Cassandra_Manufacture,Cassandra,1980780387,Ad group 1 - BK1 - Placement,https://www.howstuffworks.com/,Image ad,Innovation,VND,0,55,0,0,2,3.6,0.1,FALSE
6/1/2019,2019-06-05 12:01:00.999999 UTC,SEM_Cassandra_Retails,Cassandra,1980166496,Ad group 1 - BK1 - Placement,Mobile App,Responsive search ad,Financial Industry,VND,0,46,0,0,2,3.6,0.1,FALSE
6/2/2019,2019-06-06 13:01:01 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-1,Galinburg,1917120641,Ad group 1 - BK1 - Placement,Wikidich.com,Expanded text ad,Olympic Tokyo 2032,VND,205142,41546,179,0,3,2.7,0.15,FALSE
6/2/2019,2019-06-06 14:01:01 UTC,GDN_Brand awaren_Galinburg_World_ and reach-Display-Nod 2,Galinburg,1961240827,Ad group 1 - Nod 2 - Placement,https://www.worldbank.org/,Image ad,Republic Holiday,VND,297321,36591,185,0,1,2.7,0.15,FALSE
6/2/2019,2019-06-06 15:01:00.999999 UTC,GDN_Cassandra-Display- KV3,Cassandra,1961254468,Ad group 1 - Nod 2 - Placement,https://www.nytimes.com/,Responsive search ad,API Bok,VND,125792,23704,64,0,3,3.6,0.15,FALSE
6/2/2019,2019-06-06 16:01:01 UTC,SEM-Cassandra-HR1,Cassandra,1980306223,Ad group 1 - Nod 2- Topic,https://www.nationalgeographic.com/,Expanded text ad,Thinking about China,VND,1883,60,1,0,2,2.7,0.15,FALSE
6/2/2019,2019-06-06 17:01:01 UTC,SEM_Cassandra-Brand #2,Cassandra,1917978903,Ad group 1 - Nod 2- Topic,https://www.howstuffworks.com/,Image ad,Energy,VND,2909,60,8,0,3,3.6,0.15,FALSE
6/2/2019,2019-06-06 18:01:00.999999 UTC,SEM_Cassandra-World-headhunter,Cassandra,1970519510,Ad group 1_Placement,Mobile App,Responsive search ad,National Security,VND,658,7,1,0,2,2.7,0.15,FALSE
6/2/2019,2019-06-06 19:01:01 UTC,SEM_Cassandra-World-recruiment,Cassandra,1971158871,Ad group 1_Placement,Wikidich.com,Expanded text ad,Innovation,VND,0,84,0,0,2,3.6,0.15,FALSE
6/2/2019,2019-06-06 20:01:01 UTC,SEM_Cassandra-Search-Bank,Cassandra,1918272637,Ad group 1_Topic,https://www.worldbank.org/,Image ad,Financial Industry,VND,0,17,0,0,2,2.7,0.15,FALSE
6/2/2019,2019-06-06 21:01:00.999999 UTC,SEM_Cassandra-Search-World-Jobs,Cassandra,1917939744,Ad group 1_Placement,https://www.nytimes.com/,Responsive search ad,Olympic Tokyo 2033,VND,45082,1670,21,0,1,3.6,0.15,FALSE
6/2/2019,2019-06-06 22:01:01 UTC,SEM_Cassandra_FMCG,Cassandra,1980162614,Ad group 1_Placement,https://www.nationalgeographic.com/,Expanded text ad,Republic Holiday,VND,0,1,0,0,2,3.6,0.15,FALSE
6/2/2019,2019-06-06 23:01:01 UTC,SEM_Cassandra_Finance,Cassandra,1980857190,Ad group 1_Topic,https://www.howstuffworks.com/,Image ad,API Bok,VND,0,38,0,0,1,3.6,0.15,FALSE
6/2/2019,2019-06-07 00:01:00.999999 UTC,SEM_Cassandra_MKT1,Cassandra,1978660208,Ad group 1_ Brand KW_P1_May 17,Mobile App,Responsive search ad,Thinking about China,VND,2498,100,1,0,1,3.6,0.15,FALSE
6/2/2019,2019-06-07 01:01:01 UTC,SEM_Cassandra_Manufacture,Cassandra,1980780387,Ad group 1_ Brand KW_P1_May 17,Wikidich.com,Expanded text ad,Energy,VND,1175,82,1,0,1,3.6,0.15,FALSE
